Test Case ID,Page,Test Scenario,Expected Result,Actual Result,Issue Identify Date,ReTesting Date,Issue Solved Date,Status,Comments,User Review
NR_AP_1,Login,"On the login page, there is no option available to reset login credentials in case a user forgets their username or password. This may prevent users from regaining access to their accounts and negatively impact usability.",It is recommended to provide a hyperlink or a button on the login page that allows users to navigate to the password reset page in case they forget their credentials. This will improve user experience and ensure smoother account recovery.,,2026-01-13,,,Pending,,
NR_AP_2,Dashboard,"On the Dashboard screen, the top-right “New Lease” button placeholder border is visible, and the button appears only when the mouse is hovered over it. This may cause confusion for users, as the button is not clearly visible by default.","It is recommended to make the “New Lease” button clearly visible at all times without requiring mouse hover, to improve discoverability and enhance user experience.",,2026-01-13,,,Pending,,
NR_AP_3,Property,"In the Properties section, the Export button is not functioning as expected. Clicking the button does not trigger any action or export process.","It is recommended to enable the Export functionality to allow users to successfully export the data in Excel format, ensuring data can be easily downloaded and used for reporting or analysis purposes.",,2026-01-13,,,Pending,,
NR_AP_4,Property,"In the Properties module, the Import button is not working as expected. Clicking the button does not initiate any import action or prompt the user to upload a file.",Enable import the data from excel format and there should be option to download the import template. It is expected to see this button as action button in which export template and import both option should be available.,,2026-01-13,,,Pending,,
NR_AP_5,Property,"Add New Property - In the Add New Property modal, when a user removes an attached image, the image count is not updated accordingly and remains the same. This results in an incorrect image count being displayed to the user.","It is expected that the image count should update dynamically when a user removes an attached image, ensuring the displayed count accurately reflects the current number of images.",,2026-01-13,,,Pending,,
NR_AP_6,Property,"Add Property Button - In the Add Property feature, the entered data is not being saved. After submitting the form, the property details are not stored or reflected in the system as expected.",It is recommended to ensure the Submit button functions correctly and saves all entered field data successfully upon submission.,,2026-01-13,,,Pending,,
NR_AP_7,Property,"Add your first property - In the “Add Your First Property” screen, previously entered data is displayed; however, clicking on “Create Property” does not save the newly supplied data. As a result, the property is not created as expected.",It is recommended to ensure the Submit button functions correctly and saves all entered field data successfully upon submission.,,2026-01-13,,,Pending,,
NR_AP_8,Property,The “Clear Filters” button is not working as expected. Clicking the button does not reset or clear the applied filters.,"It is recommended that the Clear Filters button should function properly and remove all applied filters, allowing users to view the complete set of data.",,2026-01-13,,,Pending,,
NR_AP_9,Property,"In the Edit Property modal, the Update Property button is not functioning as expected. Clicking the button does not update or save the modified property details.","It is recommended that the Edit Property functionality should save all updated data correctly when the Update Property button is clicked, ensuring changes are reflected in the system.",,2026-01-13,,,Pending,,
NR_AP_10,Property,"In the Edit Property modal, it is not loading the data in the corresponding fields, moreover all the fields are appearing empty except ""Property Features""","It is recommended that when the Edit Property modal is opened, it should automatically load the corresponding property data, allowing users to view and modify existing information accurately.",,2026-01-13,,,Pending,,
NR_AP_11,Property,"In the Add Property feature, the entered data is not being saved. After submitting the form, the property details are not stored or reflected in the system as expected.",It is recommended to ensure the Submit button functions correctly and saves all entered field data successfully upon submission.,,2026-01-13,,,Pending,,
NR_AP_12,Property,"In the Property List, the action options — Edit Property, View Property, Add Property, Manage Property, Property Settings, and Delete Property — are not working as expected. Selecting any of these actions does not trigger the corresponding functionality.","It is recommended to fix and validate all the above action functionalities (Edit Property, View Property, Add Property, Manage Property, Property Settings, and Delete Property) so that users can use them as intended without any issues.",,2026-01-13,,,Pending,,
NR_AP_13,Units,"In the Units section, the Export button is not functioning as expected. Clicking the button does not trigger any action or export process.","It is recommended to enable the Export functionality to allow users to successfully export the data in Excel format, ensuring data can be easily downloaded and used for reporting or analysis purposes.",,2026-01-13,,,Pending,,
NR_AP_14,Units,"In the Units section, the Import button is not working as expected. Clicking the button does not initiate any import action or prompt the user to upload a file.",Enable import the data from excel format and there should be option to download the import template. It is expected to see this button as action button in which export template and import both option should be available.,,2026-01-13,,,Pending,,
NR_AP_15,Units,"In the Add Unit modal, the Create Unit button is not visible by default. However, when the user places the mouse pointer at the bottom-right area of the modal, the button becomes visible. This indicates a UI visibility or layout issue.","It is expected that the Create Unit button should be clearly visible at all times. If needed, a hover effect can be added for better user interaction, but the button should not depend on hover for visibility.",,2026-01-13,,,Pending,,
NR_AP_16,Units,"In the Edit Units modal, it is not loading the data in the corresponding fields, moreover all the fields are appearing empty.","It is recommended that when the Edit Unit modal is opened, it should automatically load the corresponding property data, allowing users to view and modify existing information accurately.",,2026-01-13,,,Pending,,
NR_AP_17,Units,"In the Edit Units modal, the Update Unit button is not functioning as expected. Clicking the button does not update or save the modified unit details.","It is recommended that the Edit unit functionality should save all updated data correctly when the Update Unit button is clicked, ensuring changes are reflected in the system.",,2026-01-13,,,Pending,,
NR_AP_18,Units,"Add Unit Button - In the Add Units feature, the entered data is not being saved. After submitting the form, the unit details are not stored or reflected in the system as expected.",It is recommended to ensure the Create Unit button functions correctly and saves all entered field data successfully upon submission.,,2026-01-13,,,Pending,,
NR_AP_19,Units,"Under the Unit Edit modal, the following functionalities are not working as expected: Photos, Virtual Tour, Share, Export, Delete, etc. Clicking on these options does not trigger the corresponding actions.","It is recommended to develop, enable, and thoroughly test the above functionalities (Photos, Virtual Tour, Share, Export, Delete, etc.) within the Unit Edit modal to ensure they work correctly and provide a smooth user experience.",,2026-01-13,,,Pending,,
NR_AP_20,Units,"Under the Unit Details section, the Document Attachment and Download Document options are not working as expected. Users are unable to attach documents or download the uploaded documents successfully.","It is recommended that the Document Attachment and Download Document functionalities under Unit Details should work correctly, allowing users to successfully upload and download documents as intended.",,2026-01-13,,,Pending,,
NR_AP_21,Units,"When the Add New Unit modal is opened, the Additional tab is displayed by default instead of the Basic Info tab.","It is recommended to set the Basic Info tab as the default tab when the Add New Unit modal is opened, ensuring a more intuitive and user-friendly data entry flow.",,2026-01-13,,,Pending,,
NR_AP_22,Units,"Under the Unit modal, if the user does not provide the mandatory fields, no alert or validation message is displayed to inform the user that required information is missing. Additionally, the system does not set focus or navigate to the tab containing the mandatory fields needed to create or update the unit.",It is recommended to implement proper validation for mandatory fields in the Unit modal. The system should display clear alert or validation messages when required information is missing and automatically set focus or navigate to the relevant tab containing the mandatory fields to guide the user in completing the form.,,2026-01-13,,,Pending,,
NR_AP_23,Units,"Under Unit Analytics, the Export functionality is not working as expected. Initiating the export action does not generate or download the analytics data.",It is recommended to fix and enable the Export functionality under Unit Analytics so that users can successfully export the analytics data as intended.,,2026-01-13,,,Pending,,
NR_AP_24,Leads,"Under Leads Analytics, the Export functionality is not working as expected. Initiating the export action does not generate or download the analytics data.",It is recommended to fix and enable the Export functionality under Leads Analytics so that users can successfully export the analytics data as intended.,,2026-01-13,,,Pending,,
NR_AP_25,Leads,"In the Add Leads modal, the Create Lead button is not visible by default. However, when the user places the mouse pointer at the bottom-right area of the modal, the button becomes visible. This indicates a UI visibility or layout issue.","It is expected that the Create Lead button should be clearly visible at all times. If needed, a hover effect can be added for better user interaction, but the button should not depend on hover for visibility.",,2026-01-13,,,Pending,,
NR_AP_26,Leads,"In the Edit Units modal, it is not loading the data in the corresponding fields, moreover all the fields are appearing empty.","It is recommended that when the Edit Unit modal is opened, it should automatically load the corresponding property data, allowing users to view and modify existing information accurately.",,2026-01-13,,,Pending,,
NR_AP_27,Leads,"In the Edit Leads modal, the Update Lead button is not functioning as expected. Clicking the button does not update or save the modified unit details.","It is recommended that the Edit Lead functionality should save all updated data correctly when the Update Lead button is clicked, ensuring changes are reflected in the system.",,2026-01-13,,,Pending,,
NR_AP_28,Leads,"Add Lead Button: In the Add Lead feature, the entered data is not being saved. Clicking the Submit button does not trigger any action to perform the save operation.",It is recommended to ensure the Create Lead button functions correctly and saves all entered field data successfully upon submission.,,2026-01-13,,,Pending,,
